Modelo,Base,Tipo,Treino,Previsao,RMSE,MAPE,Loja,Item
Prophet,Olist,Loja,0.64,0.04,75,1.09e+18,Loja_7,Todos
ARIMA,Olist,Loja,6.1,0.01,16,1.11e+18,Loja_8,Todos
CNN,Olist,Loja,2.6,0.15,14,6.27e+17,Loja_8,Todos
LSMT,Olist,Loja,12.44,0.55,40,1.06e+18,Loja_8,Todos
Prophet,Olist,Loja,0.36,0.04,29,1.76e+18,Loja_8,Todos
ARIMA,Olist,Loja,34.24,0.01,23,172.52,Loja_9,Todos
CNN,Olist,Loja,2.64,0.12,12,53.52,Loja_9,Todos
LSMT,Olist,Loja,12.13,0.56,25,155.44,Loja_9,Todos
Prophet,Olist,Loja,0.57,0.03,66,189.29,Loja_9,Todos
ARIMA,Favorita,Item,142.63,0.07,624,19.76,3,1.05e+06
CNN,Favorita,Item,4.86,0.14,618,19.62,3,1.05e+06
LSMT,Favorita,Item,5.31,0.5,423,12.87,3,1.05e+06
Prophet,Favorita,Item,0.17,0.06,821,26.97,3,1.05e+06
ARIMA,Favorita,Item,5.79,0.01,336,7.3,3,1.50e+06
CNN,Favorita,Item,3.85,0.13,372,8.18,3,1.50e+06
LSMT,Favorita,Item,11.17,0.5,445,10.2,3,1.50e+06
Prophet,Favorita,Item,0.18,0.06,515,11.65,3,1.50e+06
ARIMA,Favorita,Item,16.87,0.01,279,16.53,8,1.05e+06
CNN,Favorita,Item,4.59,0.16,244,13.99,8,1.05e+06
LSMT,Favorita,Item,5.94,0.5,245,14.27,8,1.05e+06
Prophet,Favorita,Item,0.23,0.1,301,18.42,8,1.05e+06
ARIMA,Favorita,Item,6.05,0.01,270,7.82,8,1.50e+06
CNN,Favorita,Item,3.71,0.16,347,10.01,8,1.50e+06
LSMT,Favorita,Item,10.69,0.5,294,8.24,8,1.50e+06
Prophet,Favorita,Item,0.2,0.05,304,9.22,8,1.50e+06
ARIMA,Favorita,Item,458.74,0.01,1192,39.76,44,1.05e+06
CNN,Favorita,Item,4.67,0.17,552,15.57,44,1.05e+06
LSMT,Favorita,Item,5.62,0.52,544,16.63,44,1.05e+06
Prophet,Favorita,Item,0.2,0.07,1280,43.17,44,1.05e+06
ARIMA,Favorita,Item,5.22,0.01,526,8.78,44,1.50e+06
CNN,Favorita,Item,3.1,0.16,660,11.59,44,1.50e+06
LSMT,Favorita,Item,11.19,0.5,659,10.88,44,1.50e+06
Prophet,Favorita,Item,0.17,0.04,612,10.72,44,1.50e+06
ARIMA,Favorita,Item,5.66,0.01,182,6.23,45,1.47e+06
CNN,Favorita,Item,3.45,0.15,238,7.53,45,1.47e+06
LSMT,Favorita,Item,10.9,0.5,198,7.17,45,1.47e+06
Prophet,Favorita,Item,0.17,0.05,250,8.19,45,1.47e+06
ARIMA,Favorita,Item,5.65,0.01,258,6.63,45,1.50e+06
CNN,Favorita,Item,3.46,0.12,371,9.59,45,1.50e+06
LSMT,Favorita,Item,10.37,0.49,310,8.05,45,1.50e+06
Prophet,Favorita,Item,0.17,0.05,374,9.18,45,1.50e+06
ARIMA,Favorita,Item,90.3,0.01,209,13.79,46,584028
CNN,Favorita,Item,4.62,0.13,199,16.83,46,584028
LSMT,Favorita,Item,16.31,0.52,179,12.41,46,584028
Prophet,Favorita,Item,0.17,0.08,232,16.0,46,584028
ARIMA,Favorita,Item,4.51,0.01,356,16.77,46,1.46e+06
CNN,Favorita,Item,3.81,0.13,342,11.55,46,1.46e+06
LSMT,Favorita,Item,10.13,0.5,294,12.33,46,1.46e+06
Prophet,Favorita,Item,0.15,0.05,391,18.44,46,1.46e+06
