Série Temporal,RMSE,MAPE,Treino,Previsao
Olist_Produto_Loja_5_Item_10_ARIMA,1,5.4e+16,5.4,0.01
Olist_Produto_Loja_5_Item_10_CNN,1,1.7e+17,2.8,0.12
Olist_Produto_Loja_5_Item_10_LSTM,16,9.7e+17,10.0,0.54
Olist_Produto_Loja_5_Item_10_Prophet,3,1.3e+17,0.5,0.04
Olist_Produto_Loja_5_Item_9_ARIMA,2,50.7,14.1,0.01
Olist_Produto_Loja_5_Item_9_CNN,2,71.5,2.8,0.18
Olist_Produto_Loja_5_Item_9_LSTM,11,378.7,12.1,0.53
Olist_Produto_Loja_5_Item_9_Prophet,12,390.8,0.6,0.03
Olist_Produto_Loja_6_Item_11_ARIMA,23,3.2e+18,35.3,0.01
Olist_Produto_Loja_6_Item_11_CNN,8,8.2e+17,2.7,0.12
Olist_Produto_Loja_6_Item_11_LSTM,87,6.9e+18,11.9,0.52
Olist_Produto_Loja_6_Item_11_Prophet,69,5.5e+18,0.5,0.03
Olist_Produto_Loja_6_Item_12_ARIMA,4,4.0e+17,201.6,0.01
Olist_Produto_Loja_6_Item_12_CNN,4,1.0e+18,2.7,0.12
Olist_Produto_Loja_6_Item_12_LSTM,16,1.3e+18,6.6,0.51
Olist_Produto_Loja_6_Item_12_Prophet,1362,2.6e+20,0.5,0.03
Olist_Produto_Loja_7_Item_13_ARIMA,2,3.5e+17,25.3,0.01
Olist_Produto_Loja_7_Item_13_CNN,2,1.3e+17,3.1,0.12
Olist_Produto_Loja_7_Item_13_LSTM,4,3.9e+17,11.6,0.62
Olist_Produto_Loja_7_Item_13_Prophet,3,1.4e+17,0.3,0.04
Olist_Produto_Loja_7_Item_14_ARIMA,3,1.3e+18,4.7,0.01
Olist_Produto_Loja_7_Item_14_CNN,3,9.5e+17,2.7,0.13
Olist_Produto_Loja_7_Item_14_LSTM,51,5.9e+18,13.5,0.57
Olist_Produto_Loja_7_Item_14_Prophet,16,3.3e+18,0.6,0.04
